LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMP_00553","Клан убил 1000 заражённых","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","Клан убил 1000 заражённых","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected","The clan killed 1000 infected"
"STR_SMP_00554","Клан убил 25 игроков","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","Клан убил 25 игроков","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players","The clan killed 25 players"
"STR_SMP_00555","Клан убил 250 игроков","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","Клан убил 250 игроков","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players","The clan killed 250 players"
"STR_SMP_00556","Клан убил 2500 заражённых","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","Клан убил 2500 заражённых","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected","The clan killed 2500 infected"
"STR_SMP_00557","Клан убил 50 игроков","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Клан убил 50 игроков","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players","Clan killed 50 players"
"STR_SMP_00558","Клан убил 500 заражённых","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","Клан убил 500 заражённых","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected","The clan killed 500 infected"
"STR_SMP_00559","Клан убил 5000 заражённых","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","Клан убил 5000 заражённых","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected","The clan killed 5,000 infected"
"STR_SMP_00560","Клан уже заполнен","The clan is already full","The clan is already full","The clan is already full","Клан уже заполнен","The clan is already full","The clan is already full","The clan is already full","The clan is already full","The clan is already full","The clan is already full","The clan is already full","The clan is already full","The clan is already full"
"STR_SMP_00561","Клан: ","Clan: ","Clan: ","Clan: ","Клан: ","Clan: ","Clan: ","Clan: ","Clan: ","Clan: ","Clan: ","Clan: ","Clan: ","Clan: "
"STR_SMP_00562","Клановая метка","Clan Mark","Clan Mark","Clan Mark","Клановая метка","Clan Mark","Clan Mark","Clan Mark","Clan Mark","Clan Mark","Clan Mark","Clan Mark","Clan Mark","Clan Mark"
"STR_SMP_00563","Клановые","Clan","Clan","Clan","Клановые","Clan","Clan","Clan","Clan","Clan","Clan","Clan","Clan","Clan"
"STR_SMP_00564","Клановые достижения","Clan achievements","Clan achievements","Clan achievements","Клановые достижения","Clan achievements","Clan achievements","Clan achievements","Clan achievements","Clan achievements","Clan achievements","Clan achievements","Clan achievements","Clan achievements"
"STR_SMP_00565","Кланы","Clans","Clans","Clans","Кланы","Clans","Clans","Clans","Clans","Clans","Clans","Clans","Clans","Clans"
"STR_SMP_00566","Кланы сервера","Server clans","Server clans","Server clans","Кланы сервера","Server clans","Server clans","Server clans","Server clans","Server clans","Server clans","Server clans","Server clans","Server clans"
"STR_SMP_00567","Класть на склад можно только у флагштока базы клана","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","Класть на склад можно только у флагштока базы клана","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base.","You can put it in storage only at the flagpole of the clan base."
"STR_SMP_00568","км","km","km","km","км","km","km","km","km","km","km","km","km","km"
"STR_SMP_00569","Кол-во","Qty","Qty","Qty","Кол-во","Qty","Qty","Qty","Qty","Qty","Qty","Qty","Qty","Qty"
"STR_SMP_00570","Кол-во: ","Qty: ","Qty: ","Qty: ","Кол-во: ","Qty: ","Qty: ","Qty: ","Qty: ","Qty: ","Qty: ","Qty: ","Qty: ","Qty: "
"STR_SMP_00571","Командир","Commander","Commander","Commander","Командир","Commander","Commander","Commander","Commander","Commander","Commander","Commander","Commander","Commander"
"STR_SMP_00572","Комиссия выставления: ","Issue commission: ","Issue commission: ","Issue commission: ","Комиссия выставления: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: ","Issue commission: "
"STR_SMP_00573","Компактный HUD","Compact HUD","Compact HUD","Compact HUD","Компактный HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD","Compact HUD"
"STR_SMP_00574","контейнер в склад","container to storage","container to storage","container to storage","контейнер в склад","container to storage","container to storage","container to storage","container to storage","container to storage","container to storage","container to storage","container to storage","container to storage"
"STR_SMP_00575","Контракт","Contract","Contract","Contract","Контракт","Contract","Contract","Contract","Contract","Contract","Contract","Contract","Contract","Contract"
"STR_SMP_00576","Контракт на охоту выполнен","Hunting contract completed","Hunting contract completed","Hunting contract completed","Контракт на охоту выполнен","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed","Hunting contract completed"
"STR_SMP_00577","Контракт на охоту создан. Комиссия: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","Контракт на охоту создан. Комиссия: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: ","The hunting contract has been created. Commission: "
"STR_SMP_00578","Контракт на поиск создан. Комиссия: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","Контракт на поиск создан. Комиссия: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: ","The search contract has been created. Commission: "
"STR_SMP_00579","Контракт отменён. Штраф: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","Контракт отменён. Штраф: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: ","The contract has been cancelled. Penalty: "
"STR_SMP_00580","Контракт поиска выполнен. Награда: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","Контракт поиска выполнен. Награда: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: ","The search contract has been completed. Reward: "
"STR_SMP_00581","Контракт принят","Contract accepted","Contract accepted","Contract accepted","Контракт принят","Contract accepted","Contract accepted","Contract accepted","Contract accepted","Contract accepted","Contract accepted","Contract accepted","Contract accepted","Contract accepted"
"STR_SMP_00582","Контракт: ","Contract: ","Contract: ","Contract: ","Контракт: ","Contract: ","Contract: ","Contract: ","Contract: ","Contract: ","Contract: ","Contract: ","Contract: ","Contract: "
"STR_SMP_00583","Контракты","Contracts","Contracts","Contracts","Контракты","Contracts","Contracts","Contracts","Contracts","Contracts","Contracts","Contracts","Contracts","Contracts"
"STR_SMP_00584","Конфиг","Config","Config","Config","Конфиг","Config","Config","Config","Config","Config","Config","Config","Config","Config"
"STR_SMP_00585","Координаты: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Координаты: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X ","Coordinates: X "
"STR_SMP_00586","Копите деньги, продавайте лоты и привязывайте флагшток как базу клана.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Копите деньги, продавайте лоты и привязывайте флагшток как базу клана.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base.","Save money, sell lots and tie a flagpole as a clan base."
"STR_SMP_00587","Крепкая смена","Strong shift","Strong shift","Strong shift","Крепкая смена","Strong shift","Strong shift","Strong shift","Strong shift","Strong shift","Strong shift","Strong shift","Strong shift","Strong shift"
"STR_SMP_00588","Крепкая экономика","Strong economy","Strong economy","Strong economy","Крепкая экономика","Strong economy","Strong economy","Strong economy","Strong economy","Strong economy","Strong economy","Strong economy","Strong economy","Strong economy"
"STR_SMP_00589","Кровотечение","Bleeding","Bleeding","Bleeding","Кровотечение","Bleeding","Bleeding","Bleeding","Bleeding","Bleeding","Bleeding","Bleeding","Bleeding","Bleeding"
"STR_SMP_00590","Кто положил","Who put","Who put","Who put","Кто положил","Who put","Who put","Who put","Who put","Who put","Who put","Who put","Who put","Who put"
"STR_SMP_00591","Кто пригласил","Who invited","Who invited","Who invited","Кто пригласил","Who invited","Who invited","Who invited","Who invited","Who invited","Who invited","Who invited","Who invited","Who invited"
"STR_SMP_00592","Купите 1 предмет на рынке","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Купите 1 предмет на рынке","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market","Buy 1 item from the market"
"STR_SMP_00593","Купите 10 предметов на рынке","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Купите 10 предметов на рынке","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market","Buy 10 items from the market"
"STR_SMP_00594","Купить","Buy","Buy","Buy","Купить","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy","Buy"
"STR_SMP_00595","Куплено: ","Purchased: ","Purchased: ","Purchased: ","Куплено: ","Purchased: ","Purchased: ","Purchased: ","Purchased: ","Purchased: ","Purchased: ","Purchased: ","Purchased: ","Purchased: "
"STR_SMP_00596","Курс валюты","Exchange rate","Exchange rate","Exchange rate","Курс валюты","Exchange rate","Exchange rate","Exchange rate","Exchange rate","Exchange rate","Exchange rate","Exchange rate","Exchange rate","Exchange rate"
"STR_SMP_00597","Легенда","Legend","Legend","Legend","Легенда","Legend","Legend","Legend","Legend","Legend","Legend","Legend","Legend","Legend"
"STR_SMP_00598","Легенда перестрелок","Gunfight legend","Gunfight legend","Gunfight legend","Легенда перестрелок","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend","Gunfight legend"
"STR_SMP_00599","Лидер","Leader","Leader","Leader","Лидер","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader","Leader"
"STR_SMP_00600","Лидерство передано: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Лидерство передано: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: ","Leadership transferred to: "
"STR_SMP_00601","Лимит","Limit","Limit","Limit","Лимит","Limit","Limit","Limit","Limit","Limit","Limit","Limit","Limit","Limit"
"STR_SMP_00602","Лимит активных лотов: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Лимит активных лотов: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: ","Limit of active lots: "
"STR_SMP_00603","Лимит исчерпан","The limit has been reached","The limit has been reached","The limit has been reached","Лимит исчерпан","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached","The limit has been reached"
"STR_SMP_00604","Лимит лотов клана: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Лимит лотов клана: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: ","Clan lot limit: "
"STR_SMP_00605","Лимит маркеров клана: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Лимит маркеров клана: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: ","Clan marker limit: "
"STR_SMP_00606","Лимит принятых контрактов: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Лимит принятых контрактов: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: ","Limit of accepted contracts: "
"STR_SMP_00607","Лимит созданных активных контрактов: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Лимит созданных активных контрактов: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: ","Limit of created active contracts: "
"STR_SMP_00608","Лимит: ","Limit: ","Limit: ","Limit: ","Лимит: ","Limit: ","Limit: ","Limit: ","Limit: ","Limit: ","Limit: ","Limit: ","Limit: ","Limit: "
"STR_SMP_00609","Личная","Personal","Personal","Personal","Личная","Personal","Personal","Personal","Personal","Personal","Personal","Personal","Personal","Personal"
"STR_SMP_00610","Личная метка","Personal tag","Personal tag","Personal tag","Личная метка","Personal tag","Personal tag","Personal tag","Personal tag","Personal tag","Personal tag","Personal tag","Personal tag","Personal tag"
"STR_SMP_00611","Личные","Personal","Personal","Personal","Личные","Personal","Personal","Personal","Personal","Personal","Personal","Personal","Personal","Personal"
"STR_SMP_00612","Личные достижения","Personal achievements","Personal achievements","Personal achievements","Личные достижения","Personal achievements","Personal achievements","Personal achievements","Personal achievements","Personal achievements","Personal achievements","Personal achievements","Personal achievements","Personal achievements"
"STR_SMP_00613","Личные достижения работают без клана. Клановые награды можно получить один раз на клан.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Личные достижения работают без клана. Клановые награды можно получить один раз на клан.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan.","Personal achievements work without a clan. Clan rewards can be received once per clan."
"STR_SMP_00614","ЛОГОТИП КЛАНА","CLAN LOGO","CLAN LOGO","CLAN LOGO","ЛОГОТИП КЛАНА","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO","CLAN LOGO"
"STR_SMP_00615","Лот выставлен: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","Лот выставлен: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: ","The lot is on display: "
"STR_SMP_00616","Лот завершён без ставок, предмет возвращён","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Лот завершён без ставок, предмет возвращён","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned","Lot completed without bids, item returned"
"STR_SMP_00617","Лот не найден","Lot not found","Lot not found","Lot not found","Лот не найден","Lot not found","Lot not found","Lot not found","Lot not found","Lot not found","Lot not found","Lot not found","Lot not found","Lot not found"
"STR_SMP_00618","Лот снят","Lot removed","Lot removed","Lot removed","Лот снят","Lot removed","Lot removed","Lot removed","Lot removed","Lot removed","Lot removed","Lot removed","Lot removed","Lot removed"
"STR_SMP_00619","Лот снят: ","Lot removed: ","Lot removed: ","Lot removed: ","Лот снят: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: ","Lot removed: "
"STR_SMP_00620","Лот со ставкой нельзя снять","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","Лот со ставкой нельзя снять","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn","A lot with a bid cannot be withdrawn"
"STR_SMP_00621","Лот уже продан или снят","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","Лот уже продан или снят","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn","The lot has already been sold or withdrawn"
"STR_SMP_00622","Лучший участник клана прожил 12 часов","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","Лучший участник клана прожил 12 часов","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours","The best clan member lived for 12 hours"
"STR_SMP_00623","Лучший участник клана прожил 24 часа","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","Лучший участник клана прожил 24 часа","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours","The best clan member survived for 24 hours"
"STR_SMP_00624","Лучший участник клана прожил 6 часов","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","Лучший участник клана прожил 6 часов","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours","The best clan member lived for 6 hours"
"STR_SMP_00625","м","m","m","m","м","m","m","m","m","m","m","m","m","m"
"STR_SMP_00626","Максимальная цена: ","Maximum price: ","Maximum price: ","Maximum price: ","Максимальная цена: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: ","Maximum price: "
"STR_SMP_00627","Максимальное звание","Maximum rank","Maximum rank","Maximum rank","Максимальное звание","Maximum rank","Maximum rank","Maximum rank","Maximum rank","Maximum rank","Maximum rank","Maximum rank","Maximum rank","Maximum rank"
"STR_SMP_00628","Малый отряд","Small detachment","Small detachment","Small detachment","Малый отряд","Small detachment","Small detachment","Small detachment","Small detachment","Small detachment","Small detachment","Small detachment","Small detachment","Small detachment"
"STR_SMP_00629","Марафонец","Marathon runner","Marathon runner","Marathon runner","Марафонец","Marathon runner","Marathon runner","Marathon runner","Marathon runner","Marathon runner","Marathon runner","Marathon runner","Marathon runner","Marathon runner"
"STR_SMP_00630","Маркер не найден","Marker not found","Marker not found","Marker not found","Маркер не найден","Marker not found","Marker not found","Marker not found","Marker not found","Marker not found","Marker not found","Marker not found","Marker not found","Marker not found"
"STR_SMP_00631","Маркеры игроков","Player markers","Player markers","Player markers","Маркеры игроков","Player markers","Player markers","Player markers","Player markers","Player markers","Player markers","Player markers","Player markers","Player markers"
"STR_SMP_00632","Маркеры на карте","Markers on the map","Markers on the map","Markers on the map","Маркеры на карте","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map"
"STR_SMP_00633","Марш-бросок","Forced march","Forced march","Forced march","Марш-бросок","Forced march","Forced march","Forced march","Forced march","Forced march","Forced march","Forced march","Forced march","Forced march"
"STR_SMP_00634","Мастер","Master","Master","Master","Мастер","Master","Master","Master","Master","Master","Master","Master","Master","Master"
"STR_SMP_00635","Менять описание клана","Change clan description","Change clan description","Change clan description","Менять описание клана","Change clan description","Change clan description","Change clan description","Change clan description","Change clan description","Change clan description","Change clan description","Change clan description","Change clan description"
"STR_SMP_00636","Менять описание клана может только тот, кому выдан доступ в правах клана.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Менять описание клана может только тот, кому выдан доступ в правах клана.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description.","Only those who have been granted access with clan rights can change the clan description."
"STR_SMP_00637","Менять цвет клана","Change clan color","Change clan color","Change clan color","Менять цвет клана","Change clan color","Change clan color","Change clan color","Change clan color","Change clan color","Change clan color","Change clan color","Change clan color","Change clan color"
"STR_SMP_00638","Мёртвый район","Dead area","Dead area","Dead area","Мёртвый район","Dead area","Dead area","Dead area","Dead area","Dead area","Dead area","Dead area","Dead area","Dead area"
"STR_SMP_00639","Метка","Marker","Marker","Marker","Метка","Marker","Marker","Marker","Marker","Marker","Marker","Marker","Marker","Marker"
"STR_SMP_00640","Метка для клана","Clan marker","Clan marker","Clan marker","Метка для клана","Clan marker","Clan marker","Clan marker","Clan marker","Clan marker","Clan marker","Clan marker","Clan marker","Clan marker"
"STR_SMP_00641","Метка: ","Label: ","Label: ","Label: ","Метка: ","Label: ","Label: ","Label: ","Label: ","Label: ","Label: ","Label: ","Label: ","Label: "
"STR_SMP_00642","Метки на карте","Markers on the map","Markers on the map","Markers on the map","Метки на карте","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map","Markers on the map"
"STR_SMP_00643","Минимальная ставка: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Минимальная ставка: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: ","Minimum bet: "
"STR_SMP_00644","Минимальная цена: ","Minimum price: ","Minimum price: ","Minimum price: ","Минимальная цена: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: ","Minimum price: "
"STR_SMP_00645","Минимальный ранг","Minimum rank","Minimum rank","Minimum rank","Минимальный ранг","Minimum rank","Minimum rank","Minimum rank","Minimum rank","Minimum rank","Minimum rank","Minimum rank","Minimum rank","Minimum rank"
"STR_SMP_00646","Минут:","Minutes:","Minutes:","Minutes:","Минут:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:"
"STR_SMP_00647","Минуты","minutes","minutes","minutes","Минуты","minutes","minutes","minutes","minutes","minutes","minutes","minutes","minutes","minutes"
"STR_SMP_00648","Минуты:","Minutes:","Minutes:","Minutes:","Минуты:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:","Minutes:"
"STR_SMP_00649","Мой клан","My clan","My clan","My clan","Мой клан","My clan","My clan","My clan","My clan","My clan","My clan","My clan","My clan","My clan"
"STR_SMP_00650","Мут выдан: ","Mute issued: ","Mute issued: ","Mute issued: ","Мут выдан: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: ","Mute issued: "
"STR_SMP_00651","Мут снят: ","Mute removed: ","Mute removed: ","Mute removed: ","Мут снят: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: ","Mute removed: "
"STR_SMP_00652","Мут чата","Chat mute","Chat mute","Chat mute","Мут чата","Chat mute","Chat mute","Chat mute","Chat mute","Chat mute","Chat mute","Chat mute","Chat mute","Chat mute"
"STR_SMP_00653","Мут чата снят","Chat mute removed","Chat mute removed","Chat mute removed","Мут чата снят","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed","Chat mute removed"
"STR_SMP_00654","Муты чата","Chat mutes","Chat mutes","Chat mutes","Муты чата","Chat mutes","Chat mutes","Chat mutes","Chat mutes","Chat mutes","Chat mutes","Chat mutes","Chat mutes","Chat mutes"
"STR_SMP_00655","Мясорубка","Meat grinder","Meat grinder","Meat grinder","Мясорубка","Meat grinder","Meat grinder","Meat grinder","Meat grinder","Meat grinder","Meat grinder","Meat grinder","Meat grinder","Meat grinder"
"STR_SMP_00656","Награда","Reward","Reward","Reward","Награда","Reward","Reward","Reward","Reward","Reward","Reward","Reward","Reward","Reward"
"STR_SMP_00657","Награда ","Reward ","Reward ","Reward ","Награда ","Reward ","Reward ","Reward ","Reward ","Reward ","Reward ","Reward ","Reward ","Reward "
"STR_SMP_00658","Награда за контракт","Contract reward","Contract reward","Contract reward","Награда за контракт","Contract reward","Contract reward","Contract reward","Contract reward","Contract reward","Contract reward","Contract reward","Contract reward","Contract reward"
"STR_SMP_00659","Награда получена: ","Reward received: ","Reward received: ","Reward received: ","Награда получена: ","Reward received: ","Reward received: ","Reward received: ","Reward received: ","Reward received: ","Reward received: ","Reward received: ","Reward received: ","Reward received: "
"STR_SMP_00660","Награда уже получена","The reward has already been received","The reward has already been received","The reward has already been received","Награда уже получена","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received","The reward has already been received"
